recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,query_id,latency_ms
1.0,1.0,1.0,1.0,1.0,1.0,1.0,295,7643.901299976278
1.0,1.0,1.0,1.0,1.0,1.0,1.0,298,7640.729299979284
0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,300,7515.887399989879
0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,7583.801700006006
0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,312,7546.41179999453
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,314,7540.815600019414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,7592.3492000147235
1.0,1.0,1.0,1.0,1.0,1.0,1.0,327,7571.590200008359
1.0,1.0,1.0,1.0,1.0,1.0,1.0,338,7452.948300022399
1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876,0.8333333333333333,343,7524.543000006815
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,350,7497.416600002907
1.0,1.0,1.0,1.0,1.0,1.0,1.0,354,8001.427300012438
1.0,1.0,1.0,1.0,1.0,1.0,1.0,362,7555.245500028832
1.0,1.0,1.0,1.0,1.0,1.0,1.0,380,7580.395700002555
0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,384,8174.0955999994185
0.5,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546,0.7,385,7499.229900015052
1.0,1.0,1.0,1.0,1.0,1.0,1.0,386,7541.662700008601
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,388,7501.125000009779
1.0,1.0,1.0,1.0,1.0,1.0,1.0,399,7643.56999998563
1.0,1.0,1.0,1.0,1.0,1.0,1.0,410,7604.859299986856
1.0,1.0,1.0,1.0,1.0,1.0,1.0,411,7522.345599980326
0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,415,7712.201400019694
0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,8058.950400009053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,431,7475.686699996004
1.0,1.0,1.0,1.0,1.0,1.0,1.0,436,7455.593399994541
0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,7608.112200017786
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,439,7474.165699997684
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,440,7478.6273000063375
1.0,1.0,1.0,1.0,1.0,1.0,1.0,443,7527.951899974141
0.0,0.5,0.5,0.25,0.2640681225725909,0.2640681225725909,0.175,452,7652.32449999894
0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,475,7893.494299991289
1.0,1.0,1.0,1.0,1.0,1.0,1.0,478,8583.149800018873
1.0,1.0,1.0,1.0,1.0,1.0,1.0,491,7530.061700002989
1.0,1.0,1.0,1.0,1.0,1.0,1.0,501,7473.148199991556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,7547.968600003514
1.0,1.0,1.0,1.0,1.0,1.0,1.0,507,7579.345399979502
0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1,508,7523.930599971209
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,513,7541.88800000702
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,514,7690.515199996298
1.0,1.0,1.0,1.0,1.0,1.0,1.0,516,7749.445200024638
0.0,0.0,0.0,0.0,0.0,0.0,0.0,517,7567.492000001948
1.0,1.0,1.0,1.0,1.0,1.0,1.0,521,7693.895199976396
1.0,1.0,1.0,1.0,1.0,1.0,1.0,525,7536.152499989839
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,527,7768.821699981345
1.0,1.0,1.0,1.0,1.0,1.0,1.0,528,8120.595799991861
1.0,1.0,1.0,1.0,1.0,1.0,1.0,532,7454.783599998336
1.0,1.0,1.0,1.0,1.0,1.0,1.0,533,7492.597400007071
0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,8633.550500002457
0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,536,7464.05959999538
1.0,1.0,1.0,1.0,1.0,1.0,1.0,539,7495.976100006374
0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.16666666666666666,540,7570.163099997444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,544,7472.292999998899
1.0,1.0,1.0,1.0,1.0,1.0,1.0,549,7733.97329999716
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,551,7483.839399996214
1.0,1.0,1.0,1.0,1.0,1.0,1.0,552,7470.786999998381
0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,554,7514.936799998395
0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,7511.217899998883
1.0,1.0,1.0,1.0,1.0,1.0,1.0,569,7538.1505000113975
0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1,575,7764.252799999667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,577,7513.479899993399
1.0,1.0,1.0,1.0,1.0,1.0,1.0,578,7456.975199980661
0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,587,7539.308300008997
1.0,1.0,1.0,1.0,1.0,1.0,1.0,589,7476.15170001518
1.0,1.0,1.0,1.0,1.0,1.0,1.0,593,7741.948500013677
0.6666666666666666,1.0,1.0,1.0,0.8854598815714874,0.8854598815714874,0.7555555555555555,597,8071.15909998538
0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,598,7550.181700004032
1.0,1.0,1.0,1.0,1.0,1.0,1.0,613,7496.238799998537
0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,619,7465.541599987773
0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,623,7711.112099990714
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,628,7913.0013000103645
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,636,7646.261199988658
1.0,1.0,1.0,1.0,1.0,1.0,1.0,637,8008.917200000724
0.5,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546,0.7,641,7521.246100019198
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,644,7537.976499996148
1.0,1.0,1.0,1.0,1.0,1.0,1.0,649,7552.345999982208
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,659,7606.605600012699
0.0,0.0,0.0,0.0,0.0,0.0,0.0,660,7595.930299983593
1.0,1.0,1.0,1.0,1.0,1.0,1.0,674,7514.416899997741
1.0,1.0,1.0,1.0,1.0,1.0,1.0,684,7479.1530999937095
0.0,0.0,0.0,0.0,0.0,0.0,0.0,690,7764.320799993584
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,691,8027.407099987613
1.0,1.0,1.0,1.0,1.0,1.0,1.0,692,7569.426300004125
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,693,7510.001600021496
1.0,1.0,1.0,1.0,1.0,1.0,1.0,700,7508.903899986763
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,702,7471.397999994224
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,715,7458.1078000192065
0.0,0.0,0.0,0.0,0.0,0.0,0.0,716,7564.075799979037
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,718,7515.709400002379
1.0,1.0,1.0,1.0,1.0,1.0,1.0,721,7569.797299976926
1.0,1.0,1.0,1.0,1.0,1.0,1.0,723,7548.393100005342
0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1,727,7655.325800005812
0.5,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546,0.7,728,7626.496300013969
