recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,query_id,latency_ms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9945.165999990422
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,9548.828600003617
0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,5,10087.317400000757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,8609.685199975502
0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.11688311688311688,36,8573.417100007646
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,42,7419.769500003895
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,48,7472.290600009728
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,49,7404.3313000001945
1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,7885.743399994681
1.0,1.0,1.0,1.0,1.0,1.0,1.0,51,7740.860299993074
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,53,7811.583499977132
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,54,8035.963199974503
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,56,7932.589100004407
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,57,7907.88149999571
0.5,0.5,1.0,1.0,0.6131471927654584,0.8315546295836225,0.6666666666666666,70,7973.459400003776
0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,72,7803.724700002931
1.0,1.0,1.0,1.0,1.0,1.0,1.0,75,7571.175299992319
0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,94,7529.982999985805
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,99,7560.310000000754
0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,100,7525.68120000069
1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,113,7497.558000002755
1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,7525.2926999819465
0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1,118,7530.56280000601
0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,124,7519.223900017096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,7506.668399990303
