query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,latency_ms
715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.5973999979906
716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.91930000379216
718,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,370.73520000558347
721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,376.1928000021726
723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,390.61860000219895
727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.15890000679065
728,0.5,0.5,1.0,1.0,0.6131471927654584,0.8065735963827293,0.625,386.890100002347
729,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,381.4991000035661
742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.78820000431733
743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.27260000043316
744,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,380.91040000290377
756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.91610000265064
759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,390.37760000064736
768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.53759999538306
770,1.0,1.0,1.0,1.0,1.0,1.0,1.0,396.24129999720026
775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.5251999993343
781,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,368.2316999984323
783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.5409999974072
784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.26740000472637
785,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,344.4262999983039
793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,338.4373000008054
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.38589999551186
805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,357.18560000532307
808,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,408.3628000007593
811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.1689000038896
814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,383.11260000045877
820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.4422000013874
821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.394599995052
823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,382.16420000389917
830,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125,377.06640000396874
831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.8071000003256
832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.877599994652
834,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,366.15720000554575
837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,373.85709999944083
839,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,353.99170000164304
845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.06249999365536
847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.666700003203
