query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,latency_ms
1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995.070699995267
1180,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,9921.29019999993
1185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10101.59360000398
1187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11097.536799992668
1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8702.568500011694
1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9381.327900002361
1196,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,10181.822700003977
1197,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,9309.975099997246
1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9149.319799995283
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9427.561900010915
1202,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,9199.855800005025
1204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9271.817500004545
1207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9371.464299998479
1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8923.351000004914
1216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9193.885100001353
1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9457.781799996155
1225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8968.075199998566
1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9218.303200002993
1232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9326.249000005191
1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9204.174099999364
1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9154.987899994012
1259,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,9432.389900000999
1262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9053.471999999601
1266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9004.268000004231
1270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9414.098299996112
1271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9015.55469998857
1272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9710.83080000244
1273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9912.622999996529
1274,0.6666666666666666,1.0,1.0,0.5,0.7328286204777911,0.7328286204777911,0.6388888888888888,9350.829899995006
1278,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125,9309.950299997581
1279,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,9525.900799999363
1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9524.00070001022
1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.372400000924
1282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9106.673500005854
1290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9295.30959999829
1292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10344.456999999238
1298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8841.529900004389
1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9372.280700001284
1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9239.376300000004
