Method,Recall@3,Recall@5,Recall@10,MRR,nDCG@5,nDCG@10,MAP,Latency_ms
Hybrid,0.6524444444444445,0.6993888888888888,0.7618333333333333,0.6145608465608465,0.6239810147915169,0.6455552730028976,0.6035595238095238,8900.636196333144
Hybrid + VQC Weighted,0.6567777777777778,0.7046666666666666,0.7593333333333333,0.6150666399876926,0.6214938663886306,0.6403287973360303,0.6014598610453874,7596.9479836667115
Hybrid + VQC Rank,0.6334444444444445,0.6996666666666665,0.7635,0.548549635205982,0.5705173236878794,0.5927516489826394,0.5360987277800746,9765.501649000507
Hybrid + VQC RRF,0.4165,0.5682777777777779,0.7508888888888888,0.38662235585765,0.4038550847638434,0.46479398104339453,0.37718848553407375,7650.886606000227
